31;EDUCACIÓN INFANTIL
32;IDIOMA EXTRANJERO: INGLÉS
33;IDIOMA EXTRANJERO: FRANCÉS
34;EDUCACIÓN FÍSICA
35;MÚSICA
36;EDUCACIÓN ESPECIAL, PEDAGOGÍA TERAPÉUTICA
37;AUDICIÓN Y LENGUAJE
38;EDUCACIÓN PRIMARIA
39;IDIOMA EXTRANJERO: ALEMÁN
39;IDIOMA EXTRANJERO: ALEMÁN
201;FILOSOFÍA
202;GRIEGO
203;LATÍN
204;LENGUA CASTELLANA Y LITERATURA
205;GEOGRAFÍA E HISTORIA
206;MATEMÁTICAS
207;FÍSICA QUÍMICA
208;BIOLOGÍA Y GEOLOGÍA
209;DIBUJO
210;FRANCÉS
211;INGLÉS
212;ALEMÁN
213;ITALIANO
221;MÚSICA
222;LATÍN Y GRIEGO (LISTA DE SUSTITUCIÓN)
244;EDUCACIÓN FÍSICA
300;TECNOLOGÍA
301;ECONOMÍA
302;ÁMBITO CIENTÍFICO-TECNOLÓGICO
303;ÁMBITO DE CONOCIMIENTO SOCIAL
308;FORMACIÓN Y ORIENTACIÓN LABORAL
310;ÁMBITO DE COMUNICACIÓN: INGLÉS
320;ÁMBITO DE COMUNICACIÓN: LENGUA CASTELLANA Y LITERATURA
342;PROCESOS EN LA INDUSTRIA ALIMENTARIA
343;PIA MATADERO: CARNICERÍA-CHARCUTERÍA
344;PIA ELABORACIÓN DE PRODUCTOS LÁCTEOS
345;PIA ELABORACIÓN DE VINOS Y OTRAS BEBIDAS
351;TECNOLOGÍA DE PUENTE
360;ADMINISTRACIÓN DE EMPRESAS
361;PROCESOS DE PRODUCCIÓN AGRARIA
362;PROCESOS Y PRODUCTOS EN ARTES GRÁFICAS
363;ORGANIZACIÓN Y PROCESOS DE MANTENIMIENTO DE VEHÍCULOS
364;CONSTRUCCIONES CIVILES Y EDIFICACIÓN
365;SISTEMAS ELECTROTÉCNICOS Y AUTOMÁTICOS
366;SISTEMAS ELECTRÓNICOS
367;HOSTELERÍA Y TURISMO
368;INFORMÁTICA
369;PROCESOS Y MEDIOS DE COMUNICACIÓN
370;PROCESOS Y PRODUCTOS EN MADERA Y MUEBLE
371;PROCESOS Y PRODUCTOS DE TEXTIL, CONFECCIÓN Y PIEL
372;ORGANIZACIÓN Y PROYECTOS DE FABRICACIÓN MECÁNICA
373;ORGANIZACIÓN Y GESTIÓN COMERCIAL
374;ASESORÍA Y PROCESOS DE IMAGEN PERSONAL
375;ORGANIZACIÓN Y PROYECTOS DE SISTEMAS ENERGÉTICOS
376;ANÁLISIS Y QUÍMICA INDUSTRIAL
377;PROCESOS SANITARIOS
378;INTERVENCIÓN SOCIOCOMUNITARIA
380;PROCESS DIAGNÓSTICOS CLÍNICOS Y PRODUCTOS ORTOPROTÉSICOS
391;NAVEGACIÓN E INSTALACIONES MARINAS
443;OEE MATADERO Y CARNICERÍA-CHARCUTERÍA
444;OEE ELABORACIÓN DE PRODUCTOS LÁCTEOS
445;OEE ELABORACIÓN DE VINOS OTRAS BEBIDAS
450;OFICINA DE PROYECTOS DE FABRICACIÓN MECÁNICA
456;OPERACIONES DE PROCESOS
457;MÁQUINAS, SERVICIOS Y PRODUCCIÓN
460;PROCESS DE GESTIÓN ADMINISTRATIVA
461;OPERACIONES Y EQUIPOS DE PRODUCCIÓN AGRARIA
462;PRODUCCIÓN EN ARTES GRÁFICAS
463;MANTENIMIENTO DE VEHÍCULOS
464;OFICINA DE PROYECTOS DE CONSTRUCCIÓN
465;INSTALACIONES ELECTROTÉCNICAS
466;EQUIPOS ELECTRÓNICOS
468;SISTEMAS Y APLICACIONES INFORMÁTICAS
469;TÉCNICAS Y PROCEDIMIENTOS DE IMAGEN Y SONIDO
470;FABRICACIÓN E INSTALACIÓN DE CARPINTERÍA Y MUEBLE
471;PATRONAJE Y CONFECCIÓN
472;SOLDADURA
473;PROCESS COMERCIALES
474;PELUQUERÍA
475;INSTALACIÓN Y MANTENIMIENTO DE EQUIPOS TÉRMICOS DE FLUÍDOS
476;LABORATORIO
477;PROCEDIMIENTOS SANITARIOS Y ASISTENCIALES
478;SERVICIOS A LA COMUNIDAD
487;MECANIZADO Y MANTENIMIENTO DE MÁQUINAS
488;ESTÉTICA
489;PROCEDIMIENTOS DE DIAGNÓSTICOS CLÍNICOS Y ORTOPROTÉSICO
495;SERVICIOS DE RESTAURACIÓN
496;COCINA Y PASTELERÍA
507;DIBUJO TÉCNICO
508;ORGANIZACIÓN INDUSTRIAL Y LEGISLACIÓN
509;DIBUJO ARTÍSTICO Y COLOR
510;HISTORIA DEL ARTE
511;MATERIALES Y TECNOLOGÍA: DISEÑO
512;VOLUMEN
513;DISEÑO GRÁFICO
514;DISEÑO DE INTERIORES
515;MEDIOS INFORMÁTICOS
516;FOTOGRAFÍA
518;MEDIOS AUDIOVISUALES
522;DISEÑO DE MODA
604;TÉCNICAS DEL METAL
606;MOLDES Y REPRODUCCIONES
607;TÉCNICAS MURALES
608;TÉCNICAS DE PATRONAJE Y CONFECCIÓN
609;TÉCNICAS DE JOYERÍA Y BISUTERÍA
610;TÉCNICAS TEXTILES
614;TALLA EN PIEDRA Y MADERA
617;TÉCNICAS CERÁMICAS
618;EBANISTERÍA ARTÍSTICA
619;FOTOGRAFÍA Y PROCESOS DE REPRODUCCIÓN
620;MODELISMO Y MAQUETISMO
631;EBANISTERIA
632;TEXTILES ARTÍSTICOS
698;BAJO ELÉCTRICO (P)
699;GUITARRA ELÉCTRICA (P)
701;FRANCÉS (E.O.I.)
702;INGLÉS (E.O.I.)
703;ALEMÁN (E.O.I.)
704;ITALIANO (E.O.I.)
705;ESPAÑOL PARA EXTRANJERO (E.O.I.)
706;CHINO (E.O.I.)
707;RUSO (E.O.I.)
708;ARABE (E.O.I.)
711;ACORDEÓN (S)
712;ACÚSTICA (S)
713;ARMONÍA Y CONTRAPUNTO (S)
714;ARPA (S)
715;CANTO (S)
716;CLARINETE (S)
717;COMPOSICIÓN (S)
718;CÁMARA (S)
719;CONTRABAJO (S)
720;DANZA (S)
722;FAGOT (S)
723;FLAUTA TRAVESERA (S)
724;DIDÁCTICA DE LA GUITARRA (S)
726;DIDÁCTICA DE LA TROMPA (S)
727;GUITARRA (S)
728;DIDÁCTICA DE LA TROMPETA(S)
730;OBOE (S)
732;PEDAGOGÍA MUSICAL (S)
733;PERCUSIÓN (S)
734;PIANO (S)
735;PIANO ACOMPAÑANTE (S)
736;SAXOFÓN (S)
738;PIANO COMPLEMENTARIO (S)
739;TROMBÓN (S)
740;TROMPA (S)
741;TROMPETA (S)
742;TUBA (S)
743;VIOLA (S)
744;VIOLÍN (S)
745;VIOLONCELLO (S)
747;DIRECCIÓN CORAL (S)
749;DIDÁCTICA DEL CANTO (S)
756;DIDÁCTICA DEL PIANO (S)
758;DIDÁCTICA DEL TROMBÓN (S)
759;DIDÁCTICA DEL VIOLÍN (S)
760;DIDÁCTICA DEL VIOLONCELLO (S)
761;DIDÁCTICA DEL CLARINETE (S)
762;TECNOLOGÍA MUSICAL (S)
763;DIRECCIÓN INSTRUMENTAL (S)
764;EDUCACIÓN AUDITIVA (S)
766;IDIOMAS (S)
767;IMPROVISACIÓN (S)
769;MECÁNICA (ARPA) (S)
772;CLAVE (S)
773;FUNDAMENTOS DE LUTHERÍA (S)
774;IMPROVISACIÓN Y ACOMPAÑAMIENTO (S)
775;ANÁLISIS (S)
776;ARTE DRAMÁTICO (S)
778;MECÁNICA (PIANO) (S)
779;PEDAGOGÍA GENERAL (S)
